"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PITX1",2954.36167910247,-6.6895653252085,0.220317083852959,-30.3633527106467,1.67445106087073e-202,6.69780424348291e-201
"LOC107525399",74763.9067318956,0.935169275418774,0.245311656963833,3.81216810889932,0.000137753131194982,0.00275506262389964
"LOC107525383",49720.0592548204,0.459234558271252,0.181829118871772,2.52563814377338,0.0115488366624924,0.153984488833232
"ZCCHC10",6056.28183571697,0.459714326829365,0.194593562084952,2.36243338116537,0.0181554041938758,0.181554041938758
"UBE2B",32624.5721932338,0.402519869596618,0.17998131894337,2.23645360507258,0.0253220731357328,0.202576585085862
"JADE2",3498.04514038669,-0.330853800443688,0.153611556770432,-2.15383404347721,0.0312531889048009,0.208354592698673
"PPP2CA",68815.3429401346,0.279000554377606,0.141812269535686,1.9673936203905,0.0491378492646931,0.280787710083961
"PCBD2",7302.401241215,-0.423837915941514,0.232097131116534,-1.82612302833123,0.0678317321766864,0.302016569256058
"SEC24A",36997.8047322243,0.329171219088857,0.182907623384094,1.79965828104178,0.0719146123543754,0.302016569256058
"SMAD5",111243.400045887,0.304589801363311,0.171369170938868,1.77738971189845,0.0755041423140144,0.302016569256058
"TGFBI",20233.6991069813,-0.48550115466461,0.296489694057034,-1.63749757376463,0.101526545480925,0.369187438112455
"FSTL4",18259.620325932,-0.282452238313243,0.189433421880602,-1.49103698549705,0.135951784809566,0.450828573887629
"CDKL3",1737.51611212101,-0.2634280079329,0.181432193247071,-1.45193641336942,0.146519286513479,0.450828573887629
"LOC107525428",64.5369463468436,-0.615394241797573,0.443035017202517,-1.38904198969055,0.164819982034511,0.470914234384317
"FBXL21",6598.50774140584,0.313294438258606,0.24526164452884,1.27738863881656,0.201465073780716,0.537240196748577
"LECT2",94.8060333542648,-0.484600510996551,0.412372020619994,-1.17515371258206,0.239933224827275,0.590966711618134
"LOC107525423",4710.8257537638,-0.264146301035752,0.23228253512686,-1.1371767614448,0.255464399563442,0.590966711618134
"DDX46",37944.0700260111,0.230009979358114,0.211377776480607,1.08814646074781,0.276530455832143,0.590966711618134
"SAR1B",4941.48616816752,0.206583690629206,0.191506822363023,1.07872757784892,0.280709188018613,0.590966711618134
"CATSPER3",5195.14608483706,-0.184434718717277,0.181563243242714,-1.01581529071236,0.309717353188871,0.599782093341758
"HSPA4",35110.8645427191,-0.146946482862845,0.14976522586812,-0.981178921949764,0.326504516578256,0.599782093341758
"TCF7",5712.17782873512,-0.168755822168037,0.173197416391009,-0.974355309013703,0.329880151337967,0.599782093341758
"LOC107525377",11715.5666964586,-0.179143755637135,0.193637664011547,-0.925149332654893,0.354888234774861,0.612363783994082
"SHROOM1",3344.75420727821,-0.196935695753501,0.218497008258878,-0.90131987308572,0.367418270396449,0.612363783994082
"CAMLG",6230.05332880236,0.155102689903188,0.182942198227383,0.847823473239385,0.396536288422416,0.634458061475866
"SKP1",24483.4216373325,0.100009508147365,0.140269541366258,0.712980930665696,0.47585755728883,0.707576525630212
"LOC107525378",44918.1466562095,-0.108150888378404,0.152294068883972,-0.710145110515114,0.477614154800393,0.707576525630212
"AFF4",92091.8740249288,0.123971651045155,0.186963961754716,0.663077792541627,0.507280732711698,0.724686761016711
"LOC107525408",0.38196664239087,2.03345485088997,4.02551976808382,0.50514094279505,0.613459846391447,0.846151512264065
"GDF9",597.011863540287,0.131628070085083,0.303745365802977,0.433350052064541,0.664760481124193,0.878997731662108
"SLC25A48",3675.23273501253,0.0576299559054286,0.140289022579063,0.410794478755101,0.681223242038134,0.878997731662108
"IL9",9.81985899479137,0.396704700667285,1.07041470002596,0.370608419949448,0.710929209789757,0.8852775553177
"LOC107525429",2358.28131214433,-0.0560918760197932,0.162748040779101,-0.344654692930695,0.730353983137103,0.8852775553177
"TXNDC15",7747.16729366611,-0.0482416417595867,0.1615393035987,-0.298637177980101,0.765216895258868,0.900255170892786
"TRPC7",1855.58837893397,-0.0524691299201495,0.196302291972367,-0.267287403488571,0.789247884628694,0.901997582432793
"LEAP2",0.734489525787177,0.694634256958149,3.97743796656401,0.174643643168676,0.861359653260506,0.930769382369862
"CDKN2AIPNL",1729.38247942313,0.0241924588373434,0.15106341356083,0.160147703981293,0.872764723742179,0.930769382369862
"TIFAB",4.80427591881921,0.289410782876282,1.98760326732016,0.145607922684937,0.884230913251369,0.930769382369862
"SOWAHA",300.063506297266,-0.0414504304867918,0.428861480792594,-0.0966522579975841,0.923002554841854,0.946669287017286
"VDAC1",25520.5512147548,-0.0034336763811593,0.199220364339684,-0.0172355692277756,0.986248686258531,0.986248686258531
"CXCL14",0,NA,NA,NA,NA,NA
"NEUROG1",0,NA,NA,NA,NA,NA
"LOC107525426",0,NA,NA,NA,NA,NA
